EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-987.862	200.0	0.00129548	-1.13378	-1.88881656371	-1.46967189229	431600
-940.43	200.0	0.00248169	-1.13432	-1.83535147083	-1.62482486725	434200
-1026.68	200.0	0.00428915	-1.13525	-1.07465181617	-1.15339624407	436800
-947.435	200.0	0.00191507	-1.13487	-2.07003176541	-1.85665212195	439400
-1056.09	200.0	0.00269278	-1.13507	-1.94793288009	-2.03426947792	442000
-962.13	200.0	0.00288482	-1.13467	-2.06262884494	-1.92673005598	444600
-1040.29	200.0	0.00329524	-1.1346	-1.96594503919	-1.91512290515	447200
-959.972	200.0	0.00589472	-1.13536	-1.33667741753	-1.60118619988	449800
-1038.65	200.0	0.0010329	-1.13498	-1.43848933798	-1.5461906487	452400
-1051.62	200.0	0.000521554	-1.13538	-1.3379443005	-1.32053733251	455000
-840.007	200.0	0.00088029	-1.13422	-2.53964526808	-1.3588749359	457600
-1003.04	200.0	0.0108892	-1.13262	-1.28502065849	-1.61607112235	460200
-1007.54	200.0	0.00153427	-1.13258	-1.62181254961	-1.50530933839	462800
-1060.53	200.0	0.00050451	-1.13256	-1.25754588783	-1.26524081347	465400
-1062.65	200.0	0.000678508	-1.13191	-1.63425928917	-1.83281949894	468000
-1165.99	200.0	0.00239886	-1.13325	-1.26612361126	-1.37064517828	470600
-1250.85	200.0	0.00382683	-1.13115	-1.26078923231	-1.55936508593	473200
-991.267	200.0	0.00389187	-1.12858	-2.25609304131	-1.53465132546	475800
-1062.93	200.0	0.00543772	-1.12441	-1.1429209687	-1.5441275032	478400
-968.336	200.0	0.00420736	-1.12366	-1.71684255948	-1.26000189916	481000
-1134.02	200.0	0.00132222	-1.12383	-1.02658274869	-1.33471542651	483600
-1025.67	200.0	0.000536386	-1.12271	-1.6909897009	-1.45622901203	486200
-1023.56	200.0	0.000823761	-1.12277	-1.58263329223	-1.56867361626	488800
-1162.68	200.0	0.00168259	-1.12192	-1.03508825554	-1.20245230141	491400
-982.131	200.0	0.00186952	-1.12074	-1.93353846641	-1.31623433633	494000
-950.461	200.0	0.00365195	-1.11882	-1.53082424919	-1.55531636041	496600
-988.769	200.0	0.00454037	-1.11567	-1.05673240364	-1.35791078443	499200
-1125.47	200.0	0.00166952	-1.11439	-1.19856503441	-1.20640857489	501800
-1019.95	200.0	0.00466632	-1.11297	-1.59940591081	-1.40066609572	504400
-1094.85	200.0	0.0018951	-1.11149	-1.20684464919	-1.32628607889	507000
-1142.83	200.0	0.00125192	-1.11017	-1.21891454427	-1.19302870314	509600
-1149.66	200.0	0.000991807	-1.10904	-1.38986495193	-1.33611658362	512200
-960.554	200.0	0.00684007	-1.10938	-2.18092144403	-1.76371402092	514800
-1083.27	200.0	0.00222265	-1.11096	-1.33293155839	-1.45822499479	517400
